,word,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74
10,accord,0.0,0.03557236828104885,0.0,0.0,0.0,0.0010099914623057126,0.015488590383821416,0.0,0.034703771207878015,0.017667946514734852,0.00838792083848108,0.0,0.10938972234830237,0.05107428222799788,0.0168060664663081,0.0,0.017431977210056824,0.03515268454276905,0.0,0.05017544579476365,0.009161194493199881,0.0,0.0,0.003855241685161633,0.01281617012679804,0.04916756788260122,0.0,0.0,0.004816631016750821,0.013898684358579688,0.014565445780040261,0.02721617963328255,0.0028668172787326266,0.0,0.0,0.0,0.0,0.0,0.0,0.004768628175809864,0.004898160853765336,0.0,0.0,0.0,0.016831183237473245,0.0017019518855806626,0.0,0.0,0.03788024247439819,0.046765378407757935,0.0,0.010603598915007976,0.16072438472065012,0.020464391704,0.0,0.013875391193258433,0.0,0.0,0.013259139996365518,0.061093803189306815,0.0,0.012249479136240292,0.0,0.00586011306417588,0.011399217004436133,0.015466446406598722,0.01456743843624857,0.12870925429206315,0.03665661062842946,0.0,0.0,0.0,0.0,0.042242942423763655,0.0
11,account,0.009894995077223839,0.03156550220514295,0.0,0.0,0.0,0.16881411982186637,0.14482380415159812,0.0,0.00878862172326451,0.0,0.0,0.07603364275755639,0.015908887819310612,0.0,0.0,0.01926892477741691,0.0,0.0,0.0,0.0,0.018291476446805795,0.0,0.10890362377925804,0.0,0.02018430962385624,0.0,0.0,0.0,0.0,0.0,0.0706686125396111,0.0,0.018834308780917512,0.0,0.0,0.02015213831059744,0.0,0.0,0.0,0.008199832359774393,0.0,0.0,0.0,0.2506141514328533,0.0,0.0,0.0,0.10344494657421413,0.0,0.08222499793666552,0.0,0.0,0.6599901100609187,0.0,0.0,0.004605587498686474,0.0,0.0,0.0,0.02659433841925364,0.0,0.0,0.0,0.11703065147281284,0.0,0.08073309339466742,0.0,0.0,0.031628490815496305,0.0,0.0,0.0,0.0,0.0,0.0
12,achiev,0.0,0.08893976759457752,0.0,0.07127773518141771,0.0,0.0,0.3773604933904927,0.0,0.0,0.0,0.0,0.17784580480204087,0.08779075338337933,0.0,0.0,0.0,0.0,0.019467581818686186,0.0,0.024095947398327093,0.0,0.030376022880644962,0.0,0.0,0.0,0.005430441741334713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009063016999390343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03505707034320859,0.020275671341470868,0.07855847294820986,0.005212921376947607,0.0,0.0,0.0,0.0,0.0,0.0,0.028884692303415192,0.0,0.0,0.011252790851796961,0.0,0.05615688859457802,0.0,0.01130820271680251,0.015416164905409773,0.0,0.0,0.0,0.12042779173835995
13,acknowledg,0.033150114637594756,0.00920025695011667,0.0,0.0779919346049777,0.0011121572187845672,0.002001046779349193,0.01985157831323778,0.0,0.0,0.0,0.0,0.09947848807544556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029236298183315555,0.0,0.0,0.0,0.0,0.0,0.03271884600922869,0.0,0.0,0.0,0.00038393759926724633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006147620819044763,0.0,0.0,0.0,0.024975062926125564,0.003440812062453928,0.0,0.015971395032828087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009634236203734091,0.0,0.0708251784622406,0.0,0.0,0.0,0.0,0.0,0.0,0.0081213230715311
14,act,0.0,0.0,0.07737202544584752,0.0,0.0,0.04292532332681123,0.15780690711067563,0.0,0.48748351437900944,0.2134679894204781,0.15797549808025302,0.510720999545066,0.05810973860937735,0.08274665391916768,0.03570268955913983,0.0,0.14994190601627772,0.04994367539291976,0.0,0.09956208166989747,0.0,0.09840422002118024,0.0,0.0,0.0,0.02955109897719836,0.06830039169777971,0.0,0.06274537843264048,0.013742906072248467,0.06708209538494346,0.04198607025936285,0.0,0.0,0.04731233160289334,0.05739991914625278,0.0,0.0,0.0,0.023073210591055267,0.0,0.001472863721478344,0.6287642138186997,0.0,0.18167287523959375,0.025748132228195584,0.020892803765955363,0.030336069288027,0.19886056688639428,0.22027832355396548,0.0,0.0,0.8223476266079961,0.0499357779140954,0.06027578150799996,0.6483978992800853,0.0,0.0,0.0,0.099875665937334,0.14844170290048384,0.0,0.0,0.0,0.0,0.0,0.016969974663202454,0.010273377669859828,0.0794803254939175,0.11211070666873396,0.0,0.2632791923823864,0.0,0.08879172518647738,0.0
15,action,0.0,0.115078865745719,0.04528113149513596,0.05133224553976743,0.0,0.014721710776596628,0.0,0.11765741851933574,0.0,0.0,0.007353824521538062,0.04028974249675721,0.0,0.030803328397319113,0.22645439632349323,0.0,0.010801990940004122,0.010207950276065723,0.01768214882749117,0.6412240153975921,0.0,0.0,0.0,0.0,0.0,0.2057476507328364,0.0,0.009951596618782666,0.06267643342663565,0.0,0.0019394890605309689,0.0,0.0,0.0,0.0,0.0,0.3561097008833387,0.0,0.07111422809116881,0.06187224646370028,0.0,0.0,0.0,0.0,0.0,0.0314216808471787,0.008699994507430966,0.0,0.0005189240115206821,0.021871084713897693,0.06707684937540888,0.0,0.3191232383670664,0.0,0.029176771943410756,0.0723397456380732,0.0,0.0,0.0,0.0,0.0183076628072418,0.001143965404865805,0.0,0.0,0.12447847183328095,0.0,0.0,0.0,0.0,0.06881497304867673,0.0,0.001801005305662647,0.0,0.008275044565061064,0.0
16,activ,0.0,0.1547058336369882,0.0,0.09723248734384334,0.0,0.012509706289568132,0.011472798740452084,0.049881843429132364,0.0,0.11797994144858995,0.004718833342871192,0.07725394034939263,0.0,0.0,0.0,0.0,0.024547646680011567,0.0,0.0,0.0,0.02254704190593361,0.06183206714735358,0.014245991244149924,0.0,0.0,0.07564018542587168,0.0,0.013939064828661174,0.010818067941033127,0.0,0.08288018825079703,0.0,0.0,0.0,0.06843034687802994,0.0,0.0,0.0,0.0,0.10440021952260364,0.035824318445135006,0.0,0.0,0.07427070544139737,0.0,0.0,0.0,0.0,0.003710416489943192,0.0,0.0,0.0,0.1681215428631006,0.0727152409114043,0.0,0.07774634900895239,0.08915389554367327,0.0,0.0,0.0,0.009522091329673568,0.0,0.0,0.0,0.0,0.0,0.0,0.06797331204708423,0.0,0.0,0.0024880298302374076,0.05771074020323147,0.0,0.0,0.1709319641836893
17,actual,0.6614760730254133,0.0168164753291158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022482869610307703,0.09468118334153376,0.01694283445408548,0.014670459332276314,0.0,0.0,0.015396279845390317,0.0,0.0,0.04787709638487877,0.02865030081551006,0.0,0.023445375051737407,0.053683852358028326,0.028467580664743676,0.010208071875850497,0.0,0.015446673948616542,0.0,0.0,0.0,0.03870432367433143,0.012927674191918185,0.0,0.03282484876003218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529276028805648,0.0,0.0,0.03020969701033511,0.0647469366064975,0.0,0.0,0.0,0.0,0.0722974155586922,0.0,0.0,0.0,0.0,0.0,0.0,0.06609171238566368,0.024447444122212753,0.0,0.0,0.009174564588333387,0.0,0.11068372133981971,0.0,0.0,0.0326545556959955,0.012861466178937004,0.0,0.012063853195357072,0.0,0.0,0.0
18,ad,0.06478632499273236,0.0,0.0,0.004607514749167827,0.008910965546919473,0.0,0.0,0.022577548272331972,0.0,0.0,0.0,0.04049329362997696,0.029988594324587888,0.0,0.004756477676325054,0.002046452234996677,0.0426584195580168,0.0,0.0,0.0,0.03741717540443447,0.0,0.0,0.01778259339310024,0.02559393744181727,0.02891215456954631,0.0,0.0,0.009519243223623278,0.0,0.0045546588773887585,0.0,0.0,0.0,0.03407447650718105,0.0,0.0,0.0,0.0,0.0,0.006817816765280959,0.017012521190645478,0.0,0.0,0.022149558554859703,0.0,0.0,0.007948405075709477,0.0,0.0,0.0,0.0,0.05480244608155338,0.0039505212476105165,0.00786211644565834,0.006295687161402922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10550765752376143,0.0,0.005370784236215936,0.024219112673936727,0.0,0.0,0.0,0.003654111487016847,0.0,0.0
19,add,0.12958614562010237,0.0,0.0,8.517764033153443e-05,0.0,0.009505134037858095,0.0,0.0,0.001403596753203395,0.0,0.0,0.022732387177409424,0.016652673809347478,0.0,0.0,0.0012404828881789874,0.0,0.0,0.0,0.0,0.059250552437456916,0.0,0.0,0.0026594477927029334,0.03756950755155603,0.0,0.012939221208072832,0.0,0.015590714448782085,0.0,0.0185902369780992,0.007319150867781666,0.023228970029690273,0.0072582261397210095,0.005546913506424378,0.0,0.0,0.0,0.0,0.0,0.0030435346283873128,0.0,0.0,0.05222354862847329,0.016038985376971075,0.0,0.0,0.06693311171085313,0.0,0.0,0.00595785619893727,0.0,0.048805266861688464,0.0,0.0013198703880778868,0.0,0.0,0.0,0.0,0.00028264585782719317,0.0,0.0,0.0,0.0,0.0,0.12595972921640086,0.0,0.004634794025839613,0.0038943248628196063,0.0,0.0,0.0,0.0,0.0,0.0
