,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74
636,house,0.0,0.4160213707497,0.0,0.0,0.0,0.0,0.0,0.0,6.150213629040391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050375910994208496,0.94790516213876,0.0,1.6291813364234593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11558739972351482,1.1399490675461887,0.0,8.481077135943558,0.5510841541826175,0.0,0.0,0.0,0.0,1.4319624526867452,0.0,0.0,0.0,0.0,0.0,0.0,0.23013330138394708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995864265094183,0.0,0.0
637,housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.209430732550809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,human,0.0,0.0,0.11287924617505356,0.1748741082311288,0.14563012633559225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605157867755542,0.0,0.0,0.0,0.0,0.0,1.3145199523786826,7.181024053892417,0.008786614741887563,0.7739149590322669,0.3256337684740252,0.0,0.0,0.0,0.26177867789661496,0.0,0.0,0.00686493772488228,0.0,0.0,0.0,0.1345848004529705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04450032367696912,0.06305785044892157,0.0,0.0,1.244748685600308,0.0,0.0,0.0,0.16130524637104748,0.0,0.33796251583573084,0.0,0.0,0.0,0.0,0.10307058639314134,0.0,0.0,0.0,0.0,0.0,0.0,0.20265999043866975,0.0
639,hundreds,0.0,0.012179839483324514,0.0,0.0017422084952867006,0.13735357204746712,0.1860975161656234,0.0026934155239205144,0.0,0.0,0.0,0.0028799501192035854,0.0,0.061778397025472484,0.019415221560689158,0.048826852436945664,0.0,0.09075612625858305,0.0,0.009374858149226579,0.15470226858232838,0.0,0.0353311429262352,0.0,0.0683835021362231,0.03749342457655459,0.0856596947447186,0.11565431617281552,0.07600931865517079,0.07750575132788803,0.0033101491356904243,0.09546882144406854,0.033713535291643365,0.046155055745159095,0.10522083682993465,0.0,0.16323474382431735,0.06785271710433333,0.05805139956755232,0.08512641269982507,0.051973072120707696,0.07226012456286186,0.010105563680702624,0.016080000593453558,0.04928692979849269,0.0,0.0,0.0,0.0049133315115259275,0.042215492387651654,0.16420914875332301,0.061268037595481134,0.0,0.0,0.0,0.01922072776880957,0.059400495880466204,0.10863859934572509,0.01923384164716522,0.0480351235824841,0.010078613402974262,0.0,0.04806576053517204,0.004808528444291808,0.0,0.12795452183575923,0.0240942423015211,0.5048979138832407,0.0,0.0,0.04228976432440935,0.0,0.1538635156401443,0.035959181742504225,0.05469713334542931,0.04998530545101586
640,idea,1.064670077262029,0.0,0.02495843657011309,0.0,0.0,0.012946203683310165,0.12785078695321253,0.07973954861383918,0.0,0.17267559120439682,0.0,0.08480109678078922,0.02257781614227733,0.0,0.0,0.039232297667951825,0.0,0.023447176643149534,0.0,0.0,0.0,0.07811133920747815,0.0,0.03934155862960612,0.0,0.0,0.0,0.004606557157036128,0.1331468277902352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24958655500986654,0.0,0.0,0.0,0.0,0.0,0.02989211263936627,0.012597243012608077,0.0,0.02717202597956576,0.03362009357046845,0.0,0.13467487254857957,0.2533078533916501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04557222175324917,0.0,0.008065725450045738,0.0,0.0,0.0,0.0225901743325599,0.040577994842476435,0.0,0.23569940098520767,0.0003588319175083781,0.0,0.0,0.34756002083275933,0.16086566063876506,0.0,0.0,0.0
641,ideas,0.2688025512331342,0.017031740762813267,0.0,0.022230032870600776,0.0,0.22306443094141612,0.06424435679797794,0.0,0.0,0.0,0.08537842478684991,0.06050636534170094,0.05963740556729959,0.0,0.0,0.00636488261584375,0.0,0.0,0.0,0.0557841360459193,0.0,0.128628389279778,0.0,0.0,0.10244382506423723,0.0,0.012512973349109145,0.007992323596327185,0.0,0.0,0.0,0.014287083768765672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020589206351478845,0.06307998519029237,0.14771726631890789,0.020690992247381208,0.39714529645427205,0.0,0.0,0.0,0.059365740855462375,0.0,0.0,0.023079616958270807,0.0,0.0,0.0,0.0030212031239780523,0.0,0.0,0.0,0.0,0.0,0.0,0.1749714840566209,0.0,0.0,0.0,0.10537803140108083,0.3467797187817712,0.0,0.0,0.0
642,illegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052516653867284845,0.0,0.0,0.0,0.0,0.0,0.003947526493292319,0.37912868100624486,0.0,0.9281295330191254,0.0,0.0,0.0,0.0,0.0,0.0,0.04671779038528408,0.0,0.07054752987864031,0.0,0.05904264075185541,0.0,0.0,0.0,0.0,0.0,0.0,0.1030520760852022,0.0,0.0,0.048666278204422146,0.0,0.0,0.1076501528613777,0.0,0.0,0.0018913086499636347,0.0,0.0,0.0,0.031618540844734706,4.7223622585337965,0.02860675388431351,0.0,0.0,0.0,0.037827205266901434,0.08163156734512904,0.0,0.0,0.0,0.0,0.0,0.0,0.09306941266607521,0.0,0.0,0.0,0.0,0.0,0.03561984303864993,0.0,0.0,0.0,0.0,0.0
643,immediate,0.0,0.0,0.10496124915375288,0.02134648349372621,0.04956542525799468,0.14124680843990195,0.0,0.06817086897671844,0.0,0.0,0.0,0.009423508341718598,0.17180997551080182,0.008962366123364457,0.09257359688254048,0.033438155041969814,0.06210151510843567,0.011556088484522784,0.0,0.00566264996155064,0.0,0.00590993196358165,0.05943601700934316,0.053387495673278065,0.0,0.0201899593468351,0.1040821695785406,0.04931997843858625,0.0470583758424918,0.0,0.08266044458988288,0.028401691590781618,0.18282526927079393,0.0,0.0,0.009088604181870187,0.0,0.0,0.03889202093515791,0.17592159846447353,0.008450457589675631,0.017280717659551813,0.11744670846783246,0.07192155089513656,0.02746352415714048,0.0,0.0,0.04257877074731936,0.038980558780514506,0.0,0.09775417948613445,0.0,0.0,0.0,0.064148692560957,0.0014145601113166458,0.041049595690505716,0.0,0.049653826573822765,0.004402975569235932,0.0,0.08724583313028861,0.0049490336651580435,0.0,0.06186246562341129,0.0,0.02333697002548182,0.028358460344893387,0.0,0.043171502887815884,0.0,0.0,0.003050948412757529,0.07432359304637387,0.0
644,immediately,0.02984942177067707,0.0,0.0,0.017308330353801638,0.054558802888806955,0.10201040199559618,0.0,0.06531860880492918,0.0880853381795776,0.02676015832449146,0.0,0.03071819559606042,0.04646670206391816,0.02029206485530733,0.12495045486208652,0.0250903924862143,0.08053823388869605,0.01536453539597564,0.0,0.13334264201640564,0.0,0.026410910743854855,0.027584657004409447,0.014558133104616124,0.0,0.011789596643424237,0.0,0.05733653653210328,0.02046603258612445,0.019796810797399096,0.057674265627233184,0.0,0.08785952807577904,0.011132393310909183,0.0,0.028256979314008276,0.0,0.0,0.025537285103790216,0.13623378124088886,0.015841980087669093,0.011384653189665285,0.17188909795664664,0.061299924794711504,0.013681807526073547,0.0,0.1946970527641454,0.1948158169698134,0.03141910164318317,0.005288069282789985,0.035143993028867435,0.013795280714900668,0.0,0.005991730911550067,0.03451748199899002,0.027073285882678707,0.04310009785545552,0.0,0.02934855329744887,0.0,0.0,0.062389400566616036,0.015117838090867376,0.0015106349422962322,0.058332226947324144,0.0,0.10070440957892354,0.009240272509530013,0.0,0.043511960147398616,0.0,0.0,0.0,0.036911931992199526,0.0034788971096641635
645,immigration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.874555776016459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,impact,0.049306477987282556,0.05253570961128999,0.06856346169436014,0.04108545157023962,0.0,0.41528697108696727,0.1668934301358916,0.07389537239064954,0.0,0.18610458445459863,0.10462467944512444,0.03288986774017038,0.18016623730554335,0.0,0.0,0.030885001928666986,0.0,0.0429900988942459,0.000959548386557587,0.1414071191549925,0.003047094582570559,0.25107778486968824,0.12083505573517721,0.0,0.15839863710023158,0.049115461305514314,0.37350681527308693,0.0,0.09071072666793384,0.1309523603413434,0.0,0.007621672134176166,0.03691651516719808,0.16992603383958269,0.0,0.17836675113932787,0.1377416194773378,0.04868085991864217,0.14820616403415024,0.04253859832998296,0.20488369625617064,0.04041870023293962,0.4986585946850377,0.2398355622952432,0.0,0.028732777366114823,0.0,0.0,0.009435828895918421,0.0,0.037948833122403526,0.0,0.0,0.0,0.14426225265563822,0.0,0.05339443821338633,0.07077531515312424,0.054303921147526094,0.0013899106297786802,0.08552223729193614,0.004654193441997521,0.0,0.031784251331297746,0.11192742299905277,0.0,0.0,0.27642779032674347,0.07945290421541704,0.008679992294002873,0.09116533291324254,0.0,0.08848758467539809,0.041383540065183945,0.2961063426299428
647,implement,0.0,0.0,0.11712174796292281,0.038786222399414386,0.0,0.0,0.048519787200325556,0.0,0.0,0.016751679106206927,0.016127644467772366,0.0,0.16841530100113086,0.0,0.16003326560347025,0.0,0.0,0.07411206518506391,0.00407790638178834,0.0,0.11663209915678105,0.0,0.039975119761704675,0.0,0.0,0.0,0.06240729793623256,0.0,0.0,0.06895878081285065,0.0,0.0,0.024176700211858856,0.02724227208986206,0.0,0.0,0.058328097021338496,0.0,0.0686043746749501,0.09491565345991786,0.07268020896586322,0.0,0.5045612174574425,0.0,0.0,0.014010056534863785,0.0,0.0,0.014283446086472966,0.0,0.013982279823415673,0.0,0.08188085508694355,0.029589034006139832,0.0,0.0,0.0,0.0,0.013182916864681283,0.0,0.02467492934636582,0.023763615346073276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04065439874857457,0.0,0.0,0.006373214158529039,0.04598616495107192
648,importance,0.0,0.0,0.13699840150617945,0.0,0.0,0.007171645671898431,0.009720731493792049,0.0,0.0,0.0,0.057721591422098324,0.09584659581371054,0.3672645010984529,0.0,0.12208107899532454,0.0,0.0,0.08291373039576146,0.0,0.20011880713098765,0.061837640525231316,0.046275973372547546,0.06038807390402132,0.0,0.2624167343637078,0.09149011855748919,0.28509681796883424,0.03268962588540634,0.14897644571028967,0.12658229222260778,0.0,0.0,0.19292053703510478,0.0646258538340787,0.11543592447674805,0.0,0.0,0.05531803467792287,0.10213871147917929,0.21882536084644585,0.017625146771018965,0.0,0.010117940112242362,0.0,0.0,0.0,0.038274023297597125,0.03505475403042937,0.10630242639192347,0.0,0.0,0.04201450642522268,0.0,0.009121574152237796,0.040268292393197555,0.0,0.0,0.2394344427228055,0.1609876744108358,0.06399615259805573,0.0,0.05824688885933952,0.04067097947533064,0.046472620935522076,0.0,0.0,0.0,0.0,0.0,0.018211493529016413,0.2633129605426212,0.24181624073631316,0.0,0.0011602244088729727,0.03879930864678238
649,important,0.6245684015245577,0.0,0.6069502197543716,0.09703163442684484,0.05410781150103021,0.25785805978089316,0.030715221799519077,0.01679782688165461,0.302165432941103,0.11396148127988785,0.22581124392318686,0.43350646737254106,3.1089278336743327,0.05050427270950522,0.5642985230042481,0.08863694523658341,0.043851181508320784,0.2886032487371462,0.12340411699342606,0.04049756948691382,0.2264980279851264,0.12918087790052432,0.12789824313932557,0.06613492289730002,0.5772428460089671,0.188783022524898,0.785817912332391,0.07142617704422424,0.37069605663234506,0.3238750071750098,0.04698078510099271,0.04737628500814119,0.3375491379818247,0.13004378296637628,0.7073221786981821,0.0,0.0,0.24863398923100122,0.2267206403747641,0.3683935042282499,0.054335358909931915,0.09444892584385625,0.010872089575293477,0.0,0.0,0.019124144436148634,0.6629372264973065,0.0,0.36901400342236373,0.0,0.0,0.2538969718112953,0.013564279918262232,0.234837464524627,0.19749281801387467,0.045087223269851956,0.0,0.30089182768339207,0.39617743332648403,0.1195173722596172,0.0,0.14668499600072898,0.2290159748281493,0.10655922493074291,0.14716037264720572,0.0,0.6084943132302006,0.0,0.002110489081000601,0.09039891579617523,0.42789532448784384,0.4457848197897177,0.0,0.046460790802195104,0.0
650,importantly,0.0,0.02770746263829996,0.019598770791512666,0.017911224938843263,0.007781308714279657,0.06263629909134247,0.011726877977714966,0.012291763211917179,0.09152635829101818,0.010461469707764074,0.029700257797178983,0.0,0.24839858715906596,0.003869932738493075,0.06739026878725246,0.0037198872600212847,0.02307155357255412,0.03243657971749679,0.022787740085723863,0.13649619739240132,0.03419028990482391,0.01903969369571574,0.006157323803780773,0.009156345811972172,0.03404434551518496,0.009205338899226057,0.08224382016548903,0.0,0.054834559187169764,0.04230148586562333,0.05036636412434426,0.006338971113631271,0.023999062603020108,0.010033844567899804,0.07033101510603795,0.0,0.029158747132659573,0.029049807843313787,0.014863718492693356,0.041129439934925585,0.024551305813078916,0.029051361722515254,0.06886880049002563,0.0,0.002136582079471425,0.0,0.0,0.0,0.08100792538330145,0.0,0.0,0.010687989756937688,0.05386273093174998,0.007107298722561954,0.02763642434995007,0.005870030451964895,0.004760568520657747,0.0,0.03442337377320797,0.020306072314023333,0.03289763171296919,0.01818868049345433,0.013586482576627376,0.008949766194416276,0.06945174044851557,0.0,0.06401294034359717,0.0,0.0,0.00288521180326789,0.03943552609436059,0.15450063599964142,0.023958081352382306,0.0,0.0152660019743002
651,improve,0.0,0.0,0.05903137314357221,0.3399333550038364,0.0,0.08749491541250728,0.24856118369804278,0.0,0.0,0.0,0.09298256068394517,0.0,0.723032834667513,0.07754141664713114,0.42896666740150086,0.0,0.0,0.0038769928320741124,0.011753438717987001,0.0,0.18631059571995973,0.030273775437181488,0.023603894385001174,0.0,0.3673907448875913,0.0,0.5243422864547232,0.009189716479328858,0.13594506363971973,0.14774338559835984,0.0,0.058083589867952146,0.0,0.03258166078889127,0.007971656209742217,0.0,0.022152967200209553,0.0,0.09896659676469446,0.0,0.1353419310446362,0.047907432304425714,0.2281237546986362,0.0,0.0,0.0,0.03781672184292462,0.0,0.08519276718871432,0.0,0.0,0.08459629283090855,0.12659405428778026,0.04713863272702521,0.05944931622031472,0.06970557791537876,0.054515327354564797,0.0,0.607983493954043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050545516768671014,0.017634325987572638,0.5732788223034888,0.0,0.0,0.09883462209704322,0.0
652,improvement,0.0,0.0,0.1288679941098668,0.10193990154309772,0.0,0.0,0.13734805404413186,0.0,0.0,0.0,0.0,0.0,0.35827536870744914,0.02799053539634176,0.0,0.004494711491322205,0.0,0.0,0.0,0.0,0.1879286669970757,0.0,0.0,0.0,0.014182388437875414,0.006449856246637176,0.14187900094279726,0.02116112457705768,0.0,0.021361274084478684,0.0,0.0019031278702028131,0.0,0.038875430492778536,0.0,0.0,0.04685594580938388,0.0,0.02812808485275511,0.0,0.12300407245485077,0.005601028528037466,0.26311703308568407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037051410423359736,0.11733508219571182,0.0,0.026164138810557548,0.0,0.0,0.4419837910993259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05217022013680183,0.0,0.0,0.24577781355257966,0.0,0.0,0.0,0.0
653,improvements,0.0,0.0,0.14601747628982228,0.02473540977171095,0.0,0.004974072840435718,0.04678165272113813,0.0,0.0,0.0,0.07187823826184482,0.0,0.3763529518852455,0.06052963526407887,0.11712367414595753,0.0,0.0,0.0,0.0,0.0,0.1922787472438393,0.04527472684525912,0.0,0.0,0.009112289168292875,0.013981740077157148,0.10557357617150706,0.013358795616517309,0.0,0.03422018944001821,0.0,0.04095521157577029,0.0,0.04727861170447666,0.013294627747766574,0.017979847139395492,0.01676484247600177,0.0,0.09927224233891814,0.0,0.10078418654576464,0.045668034801077735,0.16249497851548175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00455656828883627,0.047850438368859424,0.11953736790837231,0.042618824588230936,0.012611708055159045,0.0,0.033889488273577136,0.5761539935749903,0.005260846355053289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009857811471345443,0.03387340103188898,0.0,0.033485778403137254,0.01712830292451667,0.0
