,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
285,constitution,0.06254760699502297,0.5076043152007127,0.0,0.0,0.12784187079896547,0.0,0.0,2.8360390639983066,0.0,0.0,0.0,0.0,1.0870117844398237,0.0,0.0,0.0,0.0,1.3014110253867244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,constitutional,0.0,0.3124659034366646,0.0,0.0,0.12635896249501916,0.0,0.0,1.964786811734519,0.0,0.0,0.0,0.00850373821042496,0.8994359508961386,0.0,0.13180763523978675,0.0,0.0,0.42631637634179803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,construction,0.0,0.00650778472103048,0.12955332803117348,0.0,0.0,0.0,0.15767795947140362,0.0,0.0,0.0,0.11890576320470594,0.0,0.0,0.21009352395469172,0.08206454506501662,0.0,0.0,0.0,0.0,0.7084176376796881,0.9429751785509102,0.28627508821235575,0.02657638474111925,1.264310994315423,0.02191266877137983
288,consume,0.0,0.0,0.13553268318563794,0.0,0.0,0.0,0.020062259393648862,0.0,0.07230299388646273,0.0,0.06923071438238437,0.0,0.09484437821191904,0.020759725157455566,1.3407452693554196,0.0,0.06913865247491417,0.09807984755246625,0.014293087602920487,0.0,0.0684046901899705,0.01477235001487762,0.0,0.05920692492621872,0.10222498996074375
289,consumer,0.030318774474499096,0.0,1.0293992859633128,0.10181481581284958,0.0,0.43215877894715327,0.0,0.0,0.0,0.026759682276098574,0.40469406897213583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09547242649708772,0.0,0.0,0.3489370776692847,0.0,0.0,0.0
290,consumers,0.0,0.0,1.1882251102987567,0.1252400598687451,0.0,0.7016482567447314,0.0,0.0,0.0,0.0,0.976950397567957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799412531103363,0.0,0.0,0.4173070790482869,0.0,0.0,0.0
291,contained,0.0,0.09165836318717516,0.403221590445332,0.0,0.0,0.0329619159980172,0.0,0.0,0.0,0.03840329178743082,0.013274421674306392,0.01853943231932516,0.10196634748234343,0.028835752594135636,0.32810727656338695,0.0,0.0,0.0,0.0050085964773150735,0.0847047121925127,0.2628656691270309,0.0,0.03681813628763983,0.044178036169425096,0.014360657488930336
292,contains,0.0,0.058373037762111495,0.34234972026851607,0.009609971552151405,0.0,0.05082918024174352,0.0,0.0,0.0,0.04721329158215483,0.045912235399297736,0.0,0.0,0.037688067101237205,0.29240240251525484,0.0,0.0,0.0,0.01337935217827429,0.09773068739525581,0.33110714586469386,0.0,0.006998837722219546,0.13893404997342373,0.08594563293488922
293,continue,0.3270299560522119,0.30954358932846604,0.46263401573849444,0.20011206016275734,0.3965359108420027,0.24364308303333584,0.1371177331657043,0.012922779733793764,0.48362579391442007,0.060240222628206275,0.2374324515370441,0.13365250458342975,0.0,0.08748337210364204,0.29904092631687873,0.19497797713012963,0.2327399725491897,1.0105565092096127,0.10339972280549653,0.2545821500802621,0.6054400263674078,0.4424697662337637,0.1952969162334691,0.23049482411712668,0.45363877314104406
294,continued,0.0,0.04252017685956877,0.1562054184521424,0.0,0.0868351281938741,0.08391635336235082,0.05867279428341331,0.02631613917407177,0.6702301418692398,0.0,0.06469714823778691,0.0,0.0,0.01958867649815085,0.07004197905783444,0.02086090740123575,0.0,0.5762116317756817,0.0,0.18927858843358897,0.26454767752543384,0.07180071188010324,0.1331044602150221,0.12411121495240096,0.2341540619373418
295,continues,0.0,0.13357108298981865,0.12798134751416002,0.055253114234286804,0.1585154429829443,0.07536732733113684,0.048996718991264586,0.016821820089936587,0.3543163592117235,0.007014754851314189,0.0765146263781146,0.0,0.0,0.020496127019181493,0.0617291516808355,0.03774557568772655,0.06185329797894702,0.6217980257967619,0.026048418128027245,0.10271150987584136,0.2189149226755459,0.1435231090081379,0.08525832927673806,0.07647012090285392,0.14051931087707528
296,continuing,0.0,0.3150610305471972,0.06887158798672421,0.030538725917422408,0.09241057277736485,0.0,0.05776729706466108,0.0,0.022028717518913356,0.0,0.017399225596512337,0.11959335171275658,0.0,0.021529933557048884,0.6466925552874537,0.009007576153051061,0.0,0.3686446704952344,0.0,0.08293961644707556,0.2748259532184711,0.046484192978869646,0.0625027287238623,0.03734558259646943,0.054752632810341505
297,contract,0.13934458168341593,0.013818023475826627,0.5366230237427002,0.007114950216202588,0.0,0.014217973187767807,0.0,0.0,0.0,0.03477295132783986,0.0,0.0,0.1867695577399689,0.025291731356930625,0.0,0.005918126245341273,0.0,0.0,0.0,0.3391450309411699,0.10724973742910476,0.23427254708710635,0.0,0.03749642142042039,0.0
298,contracts,0.0,0.0,0.554706945594136,0.0,0.046387138963477854,0.030088249563584354,0.0,0.0,0.0,0.0,0.10567374099621586,0.0,0.1864275427575865,0.0,0.0,0.0,0.0,0.0,0.0,0.29238309897893655,0.10928394891267249,0.5072334264289753,0.0,0.0,0.0
299,contributions,0.0,0.0,0.17866649823131522,0.0,0.0,0.0,0.09647340831877659,0.0,1.414065658022292,0.09386418544961696,0.0,0.05769282181269795,0.0,0.0,0.0598406236882255,0.061532703794865105,0.0,0.311816638703676,0.0,0.0,0.05760139216995606,0.04388290336208655,0.0,0.0,0.16735662160025225
300,control,0.3927558971581769,0.6159631169458412,0.930645208543874,0.18589721681934857,0.0,0.05950358767590966,0.0450998670040378,0.004781894629384931,0.0,0.0,0.0,0.04142685855989768,0.11132787071010596,0.0,0.12644665340478004,0.0,0.0,0.3282861794958487,0.3793156412516627,0.29736137154200837,0.0863421355004873,0.0,1.4660131608220586,0.6684549750881328,0.21420698794075152
301,cooperation,0.0,0.0,0.2043654430702472,0.0,0.00904091756072121,0.11742634721339866,0.0,0.0,0.0,0.0,0.0,0.23802710551440004,0.0,0.005841009768033892,0.3291454891770498,0.01058375794412893,0.0,0.5722526883088511,0.11520810015672066,0.10558444382575709,0.056448238672677294,0.0,0.1736603286306523,0.1386203523830248,0.19794097201989128
302,corporate,0.12811025429523218,0.0,0.24583545452588876,0.0,0.0,0.1211158277961159,0.0,0.0751687546798845,0.040894395016309586,0.5103359466316494,0.0732630363665403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4663269391271946,0.0,0.0,0.02452775996514847
303,corporation,0.013152176841711561,0.0,0.3905730652706912,0.0,0.0,0.075006461567646,0.0,0.08318322103750689,0.1360282002819706,0.06025150554796481,0.07479823238634023,0.0,0.057666304353475896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4334981162539956,0.17994368000259597,0.0,0.0,0.0
304,corporations,0.15606259037675052,0.0,0.17315002956319087,0.0,0.0,0.2218638747228831,0.0,0.11550971588180195,0.0,0.5226542387904364,0.0,0.0,0.015394134157241173,0.0,0.0,0.0,0.0,0.03955443493086035,0.0,0.0,0.0,0.45502022145930876,0.0,0.0,0.0
305,corps,0.0,0.0,0.0,0.0,0.08431217966378804,0.0,0.0,0.0,0.8057629402102204,0.0,0.0,0.0,0.0,0.02000203286636411,0.0,0.0,0.0,0.0,0.0,0.644905251297062,0.2004718017013654,0.0,0.0,1.6655727618141647,0.0
306,correct,0.3399487509823195,0.0,0.3085772763419333,0.0,0.0089998095002262,0.03222415433943925,0.0,0.10617478863249537,0.0,0.0780433513836643,0.0,0.2441148754789186,0.19500491089665165,0.03410122338841284,0.1300925085923634,0.06416966097556354,0.0,0.009622121340633746,0.0,0.08864272424928482,0.06399732982101819,0.0,0.03651191646146922,0.0,0.0
307,cost,0.5941044228811296,0.31386417661457117,0.6215710892973263,1.2020638777000159,0.1293992090717004,0.1275205360462643,0.0,0.0,0.0,0.5019132273473992,0.6367228194278742,0.0,0.18431343128080813,0.0,0.0,0.0,0.0,0.0,0.5399517048181769,0.6354311588084355,1.2611817911977081,0.6425081859002728,0.11463732663001155,0.39249554450195573,0.0
308,costs,0.0,0.3020430769711167,0.785560577597126,1.7552448749787173,0.03634927348007408,0.0802820493958305,0.04560605524002498,0.0,0.0,0.28930049956637033,0.6745335470168625,0.0,0.09107160721149435,0.0,0.0,0.0,0.0,0.0,0.5823424297809153,0.32991386427215746,0.8885808544507655,0.7125968198860292,0.0,0.256653127127751,0.0
309,council,0.0,0.0,0.3339475896014812,0.0,0.16019432166717654,0.03736601556598032,0.13146814600647205,0.0,0.6523422313656896,0.0,0.010962275168485145,0.0,0.0,0.0,0.0,0.1514725401126166,0.0,0.5827775775652542,0.0,0.0,0.018016661842429872,0.05257115350265366,0.047212397370749525,0.14382192960184653,0.26290155113785063
310,counsel,0.0,0.0,0.23253015230079113,0.0,0.0,0.0,0.0,0.7612411167731022,0.2818775943358627,0.0,0.0,0.2210531156453304,0.0,0.0,0.29309948628273136,0.0,0.0,0.0,0.0,0.06345001610097525,0.0,0.0,0.0,0.0,0.0
311,countries,0.08869400369081094,0.0,0.0,0.0,0.15387611448121893,2.233983525161967,0.0,0.0,0.0,0.0,0.26954035058720033,0.0,0.01622861885480236,0.0,0.0,0.0,0.036962343709754764,2.6741815831444606,0.19334702355665956,0.0,0.15624286853741032,0.0,0.337113250245476,0.0,0.1392638525693037
312,country,3.538374102576089,0.1573544553879711,0.0,0.16332859948096828,0.5360095024399816,0.7651517914216527,0.3036773184498794,0.028930064967824656,2.245995800475002,0.08758591440109291,0.6428454309349779,0.0,0.10097887473260915,0.3535406208100922,0.0,0.1380732152967055,0.6477225807346598,1.6839030180937657,0.3230080551364781,0.09428095880799826,0.28365273178676403,0.9115226767164674,0.006968352862336603,0.10119408834986385,0.08786295017047765
313,county,0.0,0.0,0.18102552001539696,0.0,0.0,0.0,0.25007477860596816,0.20685718834370762,2.0436315635188635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09403514421585593,0.0,0.21455962422810554,0.006373993958471148,0.0,1.0453104023161046,0.0
