,word,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
953,packag,0.02930813022962422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07450320697165894,0.016333431437745558,0.0447220225311246,0.0,0.09421226576781831,0.011880943374954593,0.0,0.0019373295573324744,0.0,0.08005271066499038,0.0,0.024912745889780555,0.0,0.14138343819237692
954,page,0.0949449166286167,0.0019008513743539047,0.0,0.0,0.0,0.0,0.0,0.0,0.001700467978691669,0.0,0.0,0.03546753708076165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1058177638707322,0.0037725769375082066,0.007685301010489549,0.0,0.0
955,paid,0.13316712563945352,0.0,0.0,0.02361992025401648,0.034968490519559754,0.026217726820758486,0.005980236487561913,0.03717621703317976,0.0473572182336775,0.0,0.0,0.0,0.0,0.0,0.0,0.01739816772582354,0.04108232267292608,0.0,0.02056936853301233,0.0,0.024910825092588625,0.0,0.0032668494832144733,0.0,0.2467868444407396
956,pain,0.05048695585655335,0.0,0.0,0.06834629882123497,0.0,0.047999982394286066,0.0,0.0,0.06585178782616884,0.0,0.0,0.0,0.0,0.5054557622978956,0.015273544239673026,0.0,0.0,0.03219022003015079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,paper,0.074002049952422,0.0,0.019285953096514687,0.016173087928636486,0.0,0.0,0.0,0.0,0.0,0.005843351111455784,0.0,0.0,0.012393283874032702,0.0,0.0,0.030415807170557235,0.0,0.0,0.0,0.0,0.019634849040162144,0.01811291449488687,0.00391396348783239,0.0,0.014949955922418445
958,parent,0.10078238171410618,0.0,0.0,0.06287172467491822,0.0,0.0,0.5977981841375671,0.03669817026025113,0.06054196241552468,0.0,0.0,0.0,0.0,0.10372364552340783,0.019723639985585305,0.0,0.0,0.05228237619141805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959,parenthood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3627079077737978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076115634635685195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,pari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03602606705233091,0.0,0.0,0.0,0.0,0.01748581370362481,0.0,0.0026748432404306408,0.0,0.0,0.0,0.0,0.28979472286749014,0.0,0.2735367407203886,0.0,0.0,0.0
961,park,0.0,0.0,0.0,0.2833714871420584,0.0,0.0,0.0,0.0,0.0,0.003402949761836365,0.16682612024557528,0.0,0.0021857188975023083,0.0,0.0028575045480046125,0.0,0.17318639675966996,0.0,0.0,0.0,0.0,0.0,0.0,0.002141935351120786,0.0
962,parti,0.18130130720666654,0.018470027090532175,0.09551745638529673,0.002613964773722845,0.053359048054650596,0.0,0.0,0.04147784185563684,0.0035059784638366404,0.0,0.0,0.3008683809842553,0.0,0.0,0.0,0.03338880491054561,0.0,0.0,0.0036867431728255552,0.0,0.0861799438619706,0.04842038156358992,0.0,0.0,0.0
