,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
1220,significant,0.022687685475431242,0.06381102448426292,0.17588374905597423,0.07622092068945892,0.07393863118619744,0.0,0.0534434085179646,0.03982736864475777,0.0,0.0,0.13948826204106957,0.12798473014317338,0.10611339696412521,0.0001027647025596527,0.12031148196463773,0.02130746751123159,0.0,0.04669254426194611,0.043073471301358766,0.036618981947160165,0.14060849227392466,0.05692649110359929,0.024913305806216465,0.11293901599354697,0.17510802138135692,0.08136990419000681,0.05164984326063609,0.13989564146427572,0.0,0.0986728397020981,0.04878702901809273,0.69486070435372,0.0,0.29526952248258004,0.09866817835868542,0.10733954006258138,0.010652692554475969,0.014280526449929705,0.1489526070426682,0.1878632237218271,0.13834634189586884,0.11728111060870627,0.03619841635363845,0.014083400504230119,0.06856898864795845,0.0,0.05110263881335136,0.054086102199544496,0.004181534444404053,0.2593939904013061
1221,significantly,0.0,0.029302861632855805,0.12232957763298866,0.037905585409214855,0.01248449220344513,0.011426105576615343,0.036889297899525775,0.02346086625892181,0.0,0.008568437754895917,0.05262847696128376,0.0,0.0,0.0,0.06493554077464636,0.005560500207115634,0.015129086201674542,0.023945752448799644,0.0294433083825377,0.007146559128658797,0.07959235348616432,0.013869660512499167,0.007734742209661323,0.04559345865022097,0.09925603946657535,0.0005871216319143875,2.9465319137760133e-05,0.03330475947924366,0.017714359289370242,0.04746609839525176,0.004126911972810555,0.31425352672995305,0.0,0.03256499422613133,0.0,0.04825129332158613,0.021330908260483533,0.01180390747933944,0.042609445179912664,0.0543049841896738,0.09091818455102783,0.0,0.019095827643716468,0.03272283128023329,0.037232427844879554,0.0,0.0,0.0062896814131639224,0.0,0.2543231325667849
1222,similar,0.0,0.0,0.0,0.026390086098902,0.012448199816900528,0.0242106232487422,0.019627731295890575,0.025615940526173036,0.0,0.13538709630263554,0.001234490902755074,0.02332325429469126,0.08432816743665027,0.025238616460047287,0.058666264770098814,0.0,0.13956108049971758,0.054107630925191406,0.0193138696448007,0.06979121233087365,0.07828702158483229,0.018076488192224884,0.03543935371008801,0.016777858453628877,0.091028043405551,0.036536059828339684,0.009758897720286692,0.04698022376790167,0.006516397744628262,0.03802181345070696,0.017932909440116555,0.7131547442312891,0.0,0.11298800098556927,0.0,0.03385618386918076,0.18191791431595222,0.01967346121526231,0.02023865336802808,0.16467542757870812,0.020121026339313855,0.021494042558603686,0.0,0.01684295824706975,0.0,0.0,0.07412895778464812,0.000180264119416014,0.0,0.10048122273214347
1223,simple,0.24401839570776096,0.012769306946252952,0.0,0.016695474784273932,0.0019202068563812208,0.06377810905616645,0.00024518015508869287,0.12596509899953362,0.033734209001694423,0.37909434581143897,0.01964821289247859,0.0,0.07373872105456658,0.0026942478461738093,0.0,0.011121512450519634,0.08130955299018502,0.017054692103555705,0.03326751359031827,0.0508692577707987,0.0,0.033357526872197986,0.0037248267523032766,0.04860176118772447,0.001867430390846103,0.0378344284309172,0.0,0.008298354553238744,0.06099073948829546,0.030212937505421526,0.005764486581838388,0.22255819752735528,0.32426110568132216,0.0066349282197824344,0.0,0.0,0.14044716202849242,0.05911131038898589,0.0,0.01973176745727891,0.01704930310409188,0.0,0.006292074200471959,0.05690615903399213,0.06922410522748784,0.0448298628286405,0.04375301820645032,0.0,0.19233227846887993,0.08156197331523712
1224,simply,0.18960553572459982,0.13692995282696424,0.062279658817741806,0.08614143148960443,0.07793866509756738,0.1306329983681284,0.0,0.09120754539371788,0.1985075936332469,0.8440427009129465,0.013369811792971418,0.0,0.22173431524092427,0.0036675733834604443,0.12632338590044312,0.004119847920714255,0.14581702082990167,0.06801646793300481,0.05365894014893099,0.19763296049516946,0.05085526325308813,0.06399969599047435,0.12552056107784523,0.1259191023638799,0.0,0.11412128801697556,0.034409805156461463,0.0557727468131957,0.08022089965303832,0.07804513501909903,0.07116137329263097,0.6319146511400546,0.6169148314883058,0.07469347300390844,0.05394977581369125,0.0,0.32256571176881293,0.058866765538529,0.05483211408635996,0.13735436752846214,0.08668719763573564,0.0,0.16612111853436132,0.09537885142881959,0.17788599063656643,0.11132424309593066,0.08841573102193659,0.02287673762150484,0.33232077647878694,0.2141971119188908
1225,single,0.24436614513388835,0.04038159101053823,0.0,0.052269566424863134,0.0,0.08564964458805654,0.018693029089924512,0.14793967235402475,0.10100113792311137,0.031058739018917942,0.014518155522766077,0.03187722154877631,0.11346602500878766,0.0,0.027207478674126442,0.011490863357939016,0.04284929985817038,0.004686573590657321,0.010635282548154601,0.026259652055747297,0.0,0.00701935991417482,0.012740920297165009,0.0547894569321661,0.004004488898533102,0.0,0.08810752947728137,0.007179914136265806,0.26897858452709944,0.02039486762422513,0.005551981317094865,0.06465174059490751,0.4081950359118494,0.0,0.03828497813806061,0.0,0.058550415721548565,0.16093379509473824,0.004331216540311605,0.0,0.034004353112270874,0.012490295099448894,0.002598550376355953,0.047199984142651835,0.07508177210551509,0.04140904299580501,0.0,0.0,0.051351615456237905,0.18111023317191155
1226,site,0.019860442962901816,0.0,0.0057850204642535255,0.0409669529953694,0.0,0.0,0.0,0.0,0.07035140548964,0.0,0.1173702455117542,0.0,0.0,0.03272775167495726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6501830031987328,0.01499382936601349,0.0,0.0,0.20223827084723545,0.0,0.0,0.0,0.15792376433309824,0.03756602527112314,1.0168485867372052,0.0,0.0,0.10435614790267095,0.0,0.0,0.0,0.10265641071743813,0.1742413754791195,0.0,0.0,0.0,0.0,0.0,0.09019414931684466,0.0,0.0
1227,situation,0.0,0.0,0.03931241501534186,0.0,0.30055077417882886,0.10958168990607058,0.0,0.0,0.0,0.08964864763230598,0.0,0.1541778754345934,0.10274538930337755,0.0,0.22107754097090795,0.008135212606710634,0.02144649240276179,0.18091573530360075,0.0,0.019321620407709583,0.0,0.0,0.2332629216282524,0.0,0.0,0.3205279299727886,0.09328733426290468,0.04019675797286745,0.028397454867747397,0.0,0.3758764597607314,0.34586993781810865,0.6189901571782738,0.03109035790446472,0.040414217422094945,0.0,0.1820467580774585,0.0,0.0,0.4597762771833324,0.0018967594802334524,0.0,0.12328850068816652,0.060151074686389194,0.030019373243266947,0.0,0.27584181835776017,0.0,0.0,0.21571502460452308
1228,size,0.020751854143504896,0.08850920805404153,0.06293575712029419,0.0,0.007409684509906162,0.0,0.2657443772590224,0.03548582965965976,0.0,0.0,0.0,0.017693696280766457,0.0,0.0,0.09031776342931346,0.024148300148833575,0.0,0.0097465708527503,0.0,0.0,0.0,0.15784006110988974,0.03524195993107068,0.06351709450435937,0.0,0.0,0.0,0.03349715792150488,0.0020615114165648857,0.012544529722680853,0.007572148908182291,0.03514720462677626,0.11224333953555103,0.14722696038555907,0.0,0.0,0.24070889499101986,0.0,0.0,0.0183077666729086,0.05185142672453323,0.0,0.0,0.0740749823006689,0.24841329605236998,0.0,0.0,0.0200661099827793,0.061425593258998254,0.17829213028588714
1229,skills,0.0,0.0,0.0,0.0,0.0,0.6926527393679344,0.9111761394344409,0.0,0.0,0.0,0.0,0.0,0.0,0.02766471137196107,0.06573803218526897,0.0,0.0,0.0,0.0,0.0,0.32577290834894496,0.0,0.0,0.0,0.05892447664679124,0.0,0.0,0.0,0.0674040231173149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032277950463981304,0.06761281873145543,0.0,0.0,0.29655893221405283,0.009178103601058977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1230,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006205587458294391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.385961642000284,0.0,0.03416632878777525,0.0,0.0,0.0,0.028821080129168498,0.002858728406293486,0.0,0.004214954043361356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9091185035231275e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231,socalled,0.013160186461441398,0.0461894735691864,0.0,0.029473640137228092,0.05981427841432102,0.06218138168759028,0.0,0.13891255724272245,0.0,0.10771772563982625,0.0,0.021205029326425224,0.18963339187879943,0.0,0.039308190291832495,0.014254070344199609,0.07365986241054386,0.0564304055642373,0.04307196959783708,0.07899443441903194,0.0,0.00010721402135720293,0.0016786689720741962,0.07997126869144569,0.0,0.09086764790014497,0.0,0.0,0.0,0.0646326587497833,0.032202020533095684,0.23182294886235466,0.12889612102581788,0.0,0.0,0.11014082450694092,0.016205569958378012,0.010143501359795548,0.025829156995894994,0.05550069130426556,0.01801462041111945,0.0,0.0398681410645883,0.010274590592837878,0.13582632856365862,0.09207719348286257,0.0,0.0,0.24496077646462328,0.1005914096588586
1232,social,0.0,0.18744636978503124,0.0,0.0,0.0,0.0,0.09382707575937288,0.15521158798018186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.548299072122305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007535873106542535,0.0,0.2286628540857131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12820069119247682,0.0,0.0,0.0,0.0,0.0
1233,society,1.1351401420471436,0.0,0.0,0.0,0.006798861664489668,0.02975866186804831,0.264245596842058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05740013882518701,0.5205376771692597,0.00966244663455312,0.09491396846926013,0.12687909925631488,0.014601069226411195,0.0,0.0,0.0,0.3233499107830747,0.5450597144057516,0.04955886573592046,0.0,0.4367926447749102,0.0,0.0,0.07629331203087947,0.0,0.09144745529904341,0.0,0.0,0.0,0.29242135735171193,0.0,0.0,0.0,0.35957694956893405,0.0,0.0,0.0,0.0,0.00021404044532716623,0.02133091172274011,0.0,0.09795274689724254
